,Booking.com
0,Deluxe King Room
1,Standard King Roll-in Shower Accessible
2,Grand Corner King Room
3,King Parlor Suite
4,High-Floor Premium King Room
5,Double Room with Two Double Beds
6,King Room - Disability Access
7,Deluxe King Room
8,Deluxe Room (Non Refundable)
9,Two Double Beds - Location Room (19th to 25th Floors)
10,King Bed - Location Room (19th to 25th Floors)
11,Deluxe Double Room
12,Junior Suite
13,Signature Two Queen
14,Signature One King
15,Premium Two Queen
16,Corner King Studio
17,Club Two Queen
18,Club One King
19,Club Premium Two Queen
20,One Bedroom Suite
21,Deluxe King Or Queen Room
22,Deluxe King Or Queen Room with Lake View
23,Club Level King Or Queen Room with City View
24,Club Level King Or Queen Room with Water View
25,Deluxe Room - One King Bed
26,Deluxe Room - Two Queen Beds
27,Royal Club Premier Room - One King Bed
28,Double Room with Two Double Beds
29,King Room
30,Executive King Room
31,King Suite
32,Queen Room
33,Luxury Queen
34,Luxury King
35,Luxury Double Room
36,Deluxe King Room
37,Signature Double
38,Signature King
39,Gold King Suite
40,Business King Room - Exclusive access to Gold Floor Lounge
41,King Room
42,Double Room with Two Double Beds
43,Business King Room
44,Queen Room With City View
45,Business Double Room With Two Double Beds
46,Queen Room With Two Queen Beds and City View
47,Deluxe Suite
48,Queen Room - Disability Access
49,King Room
50,Double Room with Two Double Beds
51,Deluxe King Suite With Sofa Bed
52,Deluxe King Suite With Kitchenette
53,Deluxe King Room
54,Premier King Room
55,Premier Queen Room With Two Queen Beds
56,One - Bedroom Suite
57,Deluxe One - Bedroom Suite
58,Classic King Room
59,Luxury Queen Room With Two Queen Beds
60,One-Bedroom Suite
61,Standard King Room
62,Standard Queen Room With One Queen Bed
63,Queen Room - Disability Access
64,Deluxe Queen Room - High Floor With Free Wi-Fi
65,Premium King Room With Free Wi-Fi
66,Premium Queen Room With Free Wi-Fi
67,King Room With Pool View
68,Queen Room With Two Queen Beds and Garden View
69,Club King Room With Free Wi-Fi
70,Club Queen Room With Two Queen Beds and Free Wi-Fi
71,Standard Room With Mountain View
72,Standard Room Dolphin Lagoon View
73,Standard Room With Ocean View
74,Standard Room With Ocean Front View
75,Room With City View
76,Partical Ocean View Room
77,Corner Deluxe Studio
78,Room With Ocean View
79,City View With One King Bed
80,City View With Two Double Beds
81,Partial Ocean View With Two Double Beds
82,Accessible Partial Ocean View With Two Double Beds
83,Club Diamond Head Ocean View With Two Double Beds 
84,Club Ocean Front With One King Bed
85,Accessible Club Ocean View Suite With One King Bed
86,Club Ocean Front Suite King Bed
87,Kona Tower City / Mountain View
88,Kona Tower Partial Ocean View
89,Waikiki Tower Partial Ocean View
90,Waikiki Tower Ocean View
91,Queen Room With Two Queen Beds and Waikiki View
92,King Or Two Queen Room With Ocean View
93,One King Or Two Queens - Ocean Front
94,Regency Club Mountain View
95,Regency Club Ocean View
96,Ocean View Room With King Bed
97,Alii Tower Resort View With King Bed
98,Alii Tower Resort View With King Bed - Mobility Accessible Tub
99,Rainbow Tower Ocean View With King Bed - Mobility Accessible Tub  
100,Alii Tower Ocean View With King Bed
101,Rainbow Tower Ocean Front with King Bed
102,Junior Suite - Accessible Roll-in Shower
