,Expedia
0,"Deluxe Room, 1 King Bed"
1,"Standard Room, 1 King Bed, Accessible"
2,"Grand Corner King Room, 1 King Bed"
3,"Suite, 1 King Bed (Parlor)"
4,"High-Floor Premium Room, 1 King Bed"
5,"Traditional Double Room, 2 Double Beds"
6,"Room, 1 King Bed, Accessible"
7,"Deluxe Room, 1 King Bed"
8,Deluxe Room
9,"Room, 2 Double Beds (19th to 25th Floors)"
10,"Room, 1 King Bed (19th to 25 Floors)"
11,Deluxe Room
12,"Junior Suite, 1 King Bed with Sofa Bed"
13,"Signature Room, 2 Queen Beds"
14,"Signature Room, 1 King Bed"
15,"Premium Room, 2 Queen Beds"
16,"Studio, 1 King Bed with Sofa bed, Corner"
17,"Club Room, 2 Queen Beds"
18,"Club Room, 1 King Bed"
19,"Club Room, Premium 2 Queen Beds"
20,"Suite, 1 Bedroom"
21,"Deluxe Room, City View"
22,"Deluxe Room, Lake View"
23,"Club Room, City View (Club Lounge Access for 2 guests)"
24,"Club Room, Lake View (Club Lounge Access for 2 guests)"
25,"Deluxe Room, 1 King Bed"
26,"Deluxe Room, 2 Queen Beds"
27,"Premier Room, 1 King Bed (Royal Club)"
28,"Room, 2 Double Beds, Non Smoking"
29,"Room, 1 King Bed, Non Smoking (LEISURE)"
30,"Executive Room, 1 King Bed, Non Smoking"
31,"Suite, 1 King Bed, Non Smoking"
32,"Room, 1 Queen Bed, Non Smoking (Fairmont Room)"
33,"Luxury Room, 1 Queen Bed, Non Smoking"
34,"Luxury Room, 1 King Bed, Non Smoking"
35,"Luxury Room, 2 Double Beds, Non Smoking"
36,"Deluxe Room, 1 King Bed, Non Smoking"
37,"Signature Room, 2 Double Beds, Non Smoking"
38,"Signature Room, 1 King Bed, Non Smoking"
39,"Fairmont Gold, Suite, 1 King Bed, Non Smoking"
40,"Room, 1 King Bed, Non Smoking, Business Lounge Access (Fairmont Gold)"
41,"Room, 1 King Bed"
42,Double Room
43,"Business Plan, 1 King Bed"
44,"Room, 1 Queen Bed, City View"
45,"Business Double Room, 2 Double Beds"
46,"Room, 2 Queen Beds, City View"
47,Deluxe Suite
48,"Room, 1 Queen Bed, Accessible, Bathtub"
49,"Room, 1 King Bed"
50,"Room, 2 Double Beds"
51,"King Room, Suite, 1 King Bed with Sofa bed"
52,"Deluxe Suite, 1 King Bed, Non Smoking, Kitchen"
53,"Deluxe Room, 1 King Bed"
54,"Premier Room, 1 King Bed"
55,Premier Twin Room
56,"Suite, 1 Bedroom"
57,"Deluxe Suite, 1 Bedroom"
58,"Classic Room, 1 King Bed"
59,"Luxury Room, 2 Queen Beds (Prestige)"
60,"Signature Suite, 1 Bedroom"
61,"Traditional Room, 1 King Bed"
62,"Room, 1 Queen Bed"
63,"Room, Accessible"
64,"Deluxe Room, 1 Queen Bed (High Floor)"
65,"Premium Room, 1 King Bed"
66,"Premium Room, 1 Queen Bed"
67,"Room, 1 King Bed, Pool View"
68,"Room, 2 Queen Beds, Garden View"
69,"Club Room, 1 King Bed"
70,"Club Room, 2 Queen Beds"
71,"Standard Room, Mountain View (Scenic)"
72,"Standard Room, Lagoon View"
73,"Standard Room, Ocean View"
74,"Standard Room, Oceanfront"
75,"City Room, City View"
76,"Room, Partial Ocean View"
77,"Deluxe Room, Corner"
78,"Room, Ocean View "
79,"Room, 1 King Bed, City View"
80,"Room, 2 Double Beds, City View"
81,"Room, 2 Double Beds, Partial Ocean View"
82,"Room, 2 Double Beds, Accessible, Partial Ocean View"
83,"Room, 2 Double Beds, Ocean View (Diamond Head)"
84,"Club Room, 1 King Bed, Oceanfront"
85,"Club Suite, 1 King Bed, Accessible, Ocean View"
86,"Club Suite, 1 King Bed, Oceanfront (No Resort Charge)"
87,"Standard Room, Mountain View (City View - Kona Tower) - No Resort Fee"
88,"Standard Room, Partial Ocean View (Kona Tower) - No Resort Fee"
89,"Standard Room, Partial Ocean View (Waikiki Tower) - No Resort Fee"
90,"Standard Room, Ocean View (Waikiki Tower) - No Resort Fee"
91,"Room, 2 Queen Beds (Waikiki View)"
92,"Room, Ocean View"
93,"Room, Oceanfront"
94,"Regency Club, Mountain View"
95,"Regency Club, Ocean View"
96,"Room, 1 King Bed, Ocean View"
97,"Room, 1 King Bed, Resort View (Alii)"
98,"Room, 1 King Bed, Accessible, Resort View (Alii, Bathtub)"
99,"Room, 1 King Bed, Accessible, View (Rainbow, Bathtub)"
100,"Room, 1 King Bed, Ocean View (Alii)"
101,"Room, 1 King Bed, Oceanfront (Rainbow)"
102,"Junior Suite, 1 King Bed, Accessible (Roll-in Shower)"
